id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4524,825,Visa,Debit,4344676511950444,12/2022,623,YES,2,$24295,09/2002,2008,No
2731,825,Visa,Debit,4956965974959986,12/2020,393,YES,2,$21968,04/2014,2014,No
3701,825,Visa,Debit,4582313478255491,02/2024,719,YES,2,$46414,07/2003,2004,No
42,825,Visa,Credit,4879494103069057,08/2024,693,NO,1,$12400,01/2003,2012,No
4659,825,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,$28,09/2008,2009,No
4537,1746,Visa,Credit,4404898874682993,09/2003,736,YES,1,$27500,09/2003,2012,No
1278,1746,Visa,Debit,4001482973848631,07/2022,972,YES,2,$28508,02/2011,2011,No
3687,1746,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,$9022,07/2003,2015,No
3465,1746,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,$54,06/2010,2015,No
3754,1746,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,$99,07/2006,2012,No
5144,1718,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,$31599,10/2009,2009,No
2029,1718,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,$27480,03/2002,2008,No
2379,1718,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,$26743,03/2019,2019,No
2732,1718,Visa,Debit,4242015583697294,06/2020,928,YES,1,$31463,04/2014,2014,No
4706,1718,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,$16055,09/2009,2009,No
281,708,Visa,Credit,4017261190134817,05/2015,877,YES,2,$98100,01/2011,2011,No
1106,708,Mastercard,Debit (Prepaid),5581970288727991,06/2020,448,YES,1,$62,02/2007,2007,No
5621,708,Visa,Debit,4032240655674503,06/2022,53,YES,1,$132439,11/2010,2011,No
5165,708,Visa,Debit,4935974646456357,06/2020,649,YES,1,$125723,10/2009,2010,No
5757,1164,Mastercard,Debit,5905027855347659,01/2022,886,YES,1,$34900,12/1999,2012,No
27,68,Visa,Credit,4099623033306950,09/2021,74,YES,2,$9900,01/2002,2019,No
4648,68,Visa,Debit,4281200324251212,07/2013,865,YES,2,$21587,09/2007,2007,No
5435,68,Visa,Credit,4411456925570768,11/2022,922,YES,2,$15800,11/2005,2011,No
3287,1075,Mastercard,Debit,5202477865497336,04/2022,861,YES,1,$29964,06/2005,2014,No
